Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,CryoSleep_False,CryoSleep_True,deck,side,region1,region2,region3,region4,region5,region6,region7,group,sum,vr,spa,room,shop,food
2,0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,True,False,1,1.0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0,109.0,9.0,25.0,549.0,44.0,True,False,False,False,False,True,True,False,3,0.0,1,0,0,0,0,0,0,2,736.0,0.059782608695652176,0.7459239130434783,0.1480978260869565,0.033967391304347824,0.012228260869565218
3,1,43.0,3576.0,0.0,6715.0,49.0,False,True,False,False,False,True,True,False,2,0.0,1,0,0,0,0,0,0,3,10383.0,0.004719252624482327,0.6467302321101801,0.004141384956178369,0.0,0.3444091303091592
2,0,0.0,1283.0,371.0,3329.0,193.0,False,True,False,False,False,True,True,False,2,0.0,1,0,0,0,0,0,0,3,5176.0,0.037287480680061824,0.643160741885626,0.0,0.07167697063369398,0.24787480680061824
1,0,303.0,70.0,151.0,565.0,2.0,True,False,False,False,False,True,True,False,3,0.0,1,0,0,0,0,0,0,4,1091.0,0.0018331805682859762,0.5178735105407882,0.2777268560953254,0.1384051329055912,0.06416131989000917
2,0,0.0,483.0,0.0,291.0,0.0,True,False,False,False,True,False,True,False,3,1.0,1,0,0,0,0,0,0,5,774.0,0.0,0.375968992248062,0.0,0.0,0.624031007751938
1,0,42.0,1539.0,3.0,0.0,0.0,True,False,False,False,False,True,True,False,3,0.0,1,0,0,0,0,0,0,6,1584.0,0.0,0.0,0.026515151515151516,0.001893939393939394,0.9715909090909091
1,0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,True,2,0.0,1,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.0,785.0,17.0,216.0,0.0,True,False,False,False,False,True,True,False,3,0.0,1,0,0,0,0,0,0,7,1018.0,0.0,0.21218074656188604,0.0,0.01669941060903733,0.7711198428290766
0,0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,False,False,True,1,1.0,1,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,False,True,1,1.0,1,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
2,0,39.0,7295.0,589.0,110.0,124.0,False,True,False,True,False,False,True,False,1,1.0,1,0,0,0,0,0,0,8,8157.0,0.015201667279637121,0.013485350006129704,0.004781169547627804,0.07220791957827633,0.8943238935883291
2,0,73.0,0.0,1123.0,0.0,113.0,False,False,True,False,False,True,True,False,3,1.0,1,0,0,0,0,0,0,9,1309.0,0.08632543926661573,0.0,0.05576776165011459,0.8579067990832697,0.0
3,0,719.0,1.0,65.0,0.0,24.0,True,False,False,False,False,True,True,False,2,0.0,1,0,0,0,0,0,0,10,809.0,0.029666254635352288,0.0,0.8887515451174289,0.08034610630407911,0.0012360939431396785
1,0,8.0,974.0,12.0,2.0,7.0,True,False,False,False,False,True,True,False,3,1.0,1,0,0,0,0,0,0,11,1003.0,0.006979062811565304,0.0019940179461615153,0.007976071784646061,0.011964107676969093,0.9710867397806581
1,0,32.0,0.0,876.0,0.0,0.0,True,False,False,False,False,True,True,False,2,0.0,0,0,0,0,0,0,1,12,908.0,0.0,0.0,0.03524229074889868,0.9647577092511013,0.0
1,0,1286.0,122.0,0.0,0.0,0.0,False,False,True,True,False,False,True,False,3,1.0,1,0,0,0,0,0,0,14,1408.0,0.0,0.0,0.9133522727272727,0.0,0.08664772727272728
1,0,0.0,1.0,0.0,0.0,637.0,True,False,False,True,False,False,True,False,3,1.0,1,0,0,0,0,0,0,15,638.0,0.9984326018808778,0.0,0.0,0.0,0.001567398119122257
2,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,True,False,True,3,1.0,1,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,True,False,2,1.0,1,0,0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0
0,0,412.0,0.0,1.0,0.0,679.0,True,False,False,True,False,False,True,False,3,1.0,1,0,0,0,0,0,0,17,1092.0,0.6217948717948718,0.0,0.3772893772893773,0.0009157509157509158,0.0
